iter	Passed	Remaining
0	0	77
1	1	77
2	2	72
3	2	65
4	3	62
5	3	60
6	4	59
7	5	58
8	5	56
9	6	55
10	6	54
11	7	55
12	8	57
13	9	56
14	9	55
15	10	54
16	10	53
17	11	52
18	12	51
19	12	50
20	13	49
21	13	48
22	14	48
23	14	47
24	15	46
25	16	46
26	17	47
27	18	46
28	18	46
29	19	45
30	19	44
31	20	43
32	21	43
33	21	42
34	22	41
35	22	40
36	23	39
37	24	39
38	24	38
39	25	38
40	26	38
41	26	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	33
48	31	32
49	31	31
50	32	31
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	39	22
64	40	21
65	41	21
66	41	20
67	42	19
68	42	19
69	43	18
70	44	18
71	45	17
72	46	17
73	46	16
74	47	15
75	47	15
76	48	14
77	49	13
78	49	13
79	50	12
80	50	11
81	51	11
82	51	10
83	52	10
84	53	9
85	54	8
86	55	8
87	55	7
88	56	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	61	1
98	62	0
99	62	0
