iter	Passed	Remaining
0	155	155496
1	156	78051
2	157	52238
3	157	39299
4	158	31524
5	158	26340
6	159	22660
7	160	19895
8	161	17734
9	161	16006
10	162	14590
11	162	13411
12	163	12413
13	164	11560
14	164	10812
15	165	10159
16	165	9585
17	166	9072
18	166	8611
19	167	8199
20	168	7834
21	168	7498
22	169	7195
23	169	6911
24	170	6653
25	171	6411
26	171	6186
27	172	5977
28	172	5784
29	173	5604
30	173	5436
31	174	5276
32	174	5128
33	175	4988
34	176	4855
35	176	4735
36	177	4619
37	178	4507
38	178	4399
39	179	4298
40	179	4203
41	180	4110
42	180	4023
43	181	3938
44	181	3857
45	182	3780
46	182	3706
47	183	3636
48	183	3568
49	184	3504
50	185	3444
51	185	3384
52	186	3327
53	186	3271
54	187	3217
55	187	3166
56	188	3115
57	188	3067
58	189	3020
59	189	2975
60	190	2931
61	190	2888
62	191	2846
63	191	2806
64	192	2769
65	193	2734
66	193	2700
67	194	2666
68	195	2634
69	195	2603
70	196	2571
71	197	2539
72	197	2508
73	198	2477
74	198	2448
75	199	2419
76	199	2391
77	200	2364
78	200	2338
79	201	2312
80	201	2288
81	202	2266
82	202	2240
83	203	2216
84	203	2193
85	204	2172
86	204	2150
87	205	2129
88	205	2107
89	206	2087
90	206	2067
91	207	2048
92	208	2028
93	208	2010
94	209	1991
95	209	1973
96	210	1955
97	210	1941
98	211	1926
99	212	1911
100	213	1897
101	213	1882
102	214	1867
103	214	1852
104	215	1837
105	216	1822
106	216	1807
107	217	1793
108	217	1779
109	218	1764
110	218	1750
111	219	1737
112	220	1727
113	220	1715
114	221	1704
115	222	1692
116	222	1679
117	223	1667
118	223	1655
119	224	1642
120	224	1631
121	225	1620
122	225	1609
123	226	1598
124	226	1587
125	227	1577
126	227	1566
127	228	1557
128	229	1549
129	230	1540
130	230	1530
131	231	1521
132	231	1512
133	232	1502
134	233	1493
135	233	1484
136	234	1475
137	234	1466
138	235	1458
139	235	1449
140	236	1441
141	237	1432
142	237	1425
143	238	1419
144	239	1412
145	240	1404
146	240	1396
147	241	1388
148	241	1381
149	242	1373
150	243	1366
151	243	1359
152	244	1352
153	244	1344
154	245	1337
155	246	1330
156	246	1324
157	247	1318
158	248	1312
159	248	1306
160	249	1298
161	249	1292
162	250	1285
163	251	1279
164	251	1273
165	252	1267
166	252	1261
167	253	1255
168	254	1249
169	254	1243
170	255	1237
171	255	1232
172	256	1226
173	257	1220
174	257	1215
175	258	1210
176	259	1205
177	259	1199
178	260	1194
179	261	1189
180	261	1184
181	262	1180
182	263	1174
183	263	1169
184	264	1164
185	264	1159
186	265	1155
187	266	1151
188	267	1146
189	267	1141
190	268	1137
191	269	1132
192	269	1127
193	270	1122
194	270	1117
195	271	1112
196	271	1108
197	272	1103
198	273	1099
199	273	1095
200	274	1091
201	275	1088
202	276	1083
203	276	1079
204	277	1076
205	278	1072
206	278	1068
207	279	1064
208	280	1060
209	280	1056
210	281	1051
211	281	1047
212	282	1043
213	283	1039
214	283	1036
215	284	1032
216	285	1028
217	285	1024
218	286	1020
219	286	1016
220	287	1012
221	287	1008
222	288	1004
223	288	1001
224	289	997
225	290	993
226	290	989
227	291	985
228	291	982
229	292	979
230	293	976
231	293	972
232	294	969
233	295	965
234	295	962
235	296	959
236	296	956
237	297	952
238	298	949
239	298	946
240	299	942
241	299	939
242	300	935
243	300	932
244	301	929
245	302	926
246	303	924
247	303	921
248	304	917
249	304	914
250	305	911
251	306	908
252	306	905
253	307	902
254	307	899
255	308	896
256	309	893
257	309	890
258	310	887
259	310	885
260	311	882
261	312	880
262	313	877
263	313	874
264	314	871
265	314	869
266	315	866
267	316	863
268	316	860
269	317	858
270	318	855
271	318	852
272	319	850
273	320	848
274	321	846
275	321	844
276	322	841
277	322	838
278	323	835
279	324	833
280	324	830
281	325	828
282	325	825
283	326	823
284	327	820
285	327	818
286	328	815
287	329	813
288	330	811
289	330	809
290	331	807
291	331	804
292	332	802
293	333	799
294	333	797
295	334	794
296	334	792
297	335	789
